id,value
id_0,26.5657384191
id_1,61.4884027847
id_2,20.4717703429
id_3,28.5129689368
id_4,10.3905822428
id_5,35.969293564
id_6,39.4456265703
id_7,16.5055739833
id_8,47.7081104466
id_9,33.3217644468
id_10,38.8147554278
id_11,58.2270530374
id_12,36.591875201
id_13,41.1485337543
id_14,26.8609832009
id_15,12.6955062503
id_16,52.6791858733
id_17,22.433841477
id_18,19.3047164754
id_19,19.6763575874
id_20,14.9531063536
id_21,28.109056375
id_22,36.8408081207
id_23,9.47402780703
id_24,57.8775992117
id_25,44.2262076746
id_26,28.3547608692
id_27,9.42671579439
id_28,29.0953827856
id_29,35.5702303793
id_30,18.4734919602
id_31,11.8566000737
id_32,16.7168071817
id_33,6.58458093946
id_34,18.2049647729
id_35,39.1956832741
id_36,19.840068349
id_37,28.4760574614
id_38,6.66301397439
id_39,59.6848339758
id_40,47.0429489017
id_41,16.8694985713
id_42,49.5105110027
id_43,18.2205011795
id_44,43.7506013582
id_45,51.1023050983
id_46,61.1760182216
id_47,39.9397070483
id_48,51.001441247
id_49,41.5427663945
id_50,30.2786868918
id_51,24.6875561108
id_52,40.7630341116
id_53,25.3413951941
id_54,38.325421866
id_55,39.7963115521
id_56,24.7959610842
id_57,21.8958794778
id_58,37.6764618095
id_59,31.2408064255
id_60,15.485950668
id_61,23.4766174147
id_62,31.399417108
id_63,54.6227616561
id_64,48.7603438071
id_65,26.5526523772
id_66,40.8213072216
id_67,54.3215352163
id_68,27.9730620355
id_69,38.3670981456
id_70,64.4844542507
id_71,52.8976896694
id_72,43.5117632671
id_73,11.5185997607
id_74,12.1344759684
id_75,35.6524359303
id_76,60.2968114088
id_77,3.44125288226
id_78,44.3700197064
id_79,40.013762585
id_80,8.16585818912
id_81,22.2076077877
id_82,7.93982041541
id_83,33.8329970259
id_84,10.7776362213
id_85,5.65956020134
id_86,16.350243987
id_87,11.9818169357
id_88,13.3501828649
id_89,27.8198590998
id_90,30.4682445546
id_91,11.5081109909
id_92,13.817593573
id_93,7.80916636738
id_94,36.4082699275
id_95,16.277425271
id_96,15.6152416637
id_97,8.90855779939
id_98,10.9230046976
id_99,4.25649346246
id_100,13.0483669798
id_101,18.4874253556
id_102,11.3401645308
id_103,5.59262088901
id_104,14.0885266406
id_105,37.0256452155
id_106,27.6294224172
id_107,8.21996275406
id_108,16.6573217012
id_109,16.5074717042
id_110,14.2593799991
id_111,17.4644403228
id_112,13.3612140649
id_113,28.381244181
id_114,22.226838047
id_115,15.386856969
id_116,9.36041327537
id_117,44.4305983091
id_118,29.5034473366
id_119,1.75526013758
id_120,2.28945930381
id_121,11.6629685457
id_122,15.7771153101
id_123,15.4686796157
id_124,6.76007169152
id_125,26.2993619909
id_126,21.3919360456
id_127,13.6095453532
id_128,20.0879397571
id_129,18.122782186
id_130,4.38977920538
id_131,36.2014012087
id_132,14.3447098922
id_133,26.7131276522
id_134,23.7213896853
id_135,20.8160090301
id_136,10.2900732157
id_137,19.8831703848
id_138,77.2122935728
id_139,63.6248441713
id_140,27.2241018203
id_141,17.264599251
id_142,25.0910811166
id_143,8.32614817897
id_144,11.1201016276
id_145,10.6366317189
id_146,21.4278470882
id_147,7.69740397578
id_148,13.9283270305
id_149,17.0599828551
id_150,50.84457037
id_151,21.5215175232
id_152,24.5086411622
id_153,15.6123566197
id_154,14.7437232908
id_155,27.6899521677
id_156,21.6813861366
id_157,34.1396665117
id_158,3.60105549619
id_159,19.8093435669
id_160,43.4271623303
id_161,18.7796934884
id_162,55.7310379324
id_163,19.4830942461
id_164,36.6286887174
id_165,24.5168806994
id_166,21.7030205624
id_167,1.35281870939
id_168,66.0989208879
id_169,18.3917043571
id_170,17.7381017663
id_171,67.8008930867
id_172,21.1419258672
id_173,2.62806311948
id_174,23.6790792148
id_175,2.50834504205
id_176,6.50511030794
id_177,18.8546481867
id_178,20.3560455769
id_179,21.1508632436
id_180,42.6724429762
id_181,27.3682067133
id_182,28.8612823556
id_183,12.5763251471
id_184,8.93488398223
id_185,41.2341821778
id_186,36.5681605023
id_187,33.0817954382
id_188,16.4910742961
id_189,21.8262893532
id_190,14.7174912825
id_191,14.8755301509
id_192,33.1337231578
id_193,77.3115784138
id_194,29.5985090181
id_195,11.6773120105
id_196,61.2854133635
id_197,15.2801162157
id_198,19.7208249418
id_199,23.5238358368
id_200,125.100184301
id_201,26.3668746459
id_202,57.967595525
id_203,5.36866254515
id_204,62.3400370422
id_205,35.4757824978
id_206,17.1982498348
id_207,14.2178373422
id_208,64.0615338882
id_209,13.8820123259
id_210,28.4496008571
id_211,72.2012106527
id_212,20.683248295
id_213,115.904763348
id_214,39.8700279966
id_215,83.2743007322
id_216,92.3462957412
id_217,70.4840829354
id_218,28.9102984461
id_219,19.1788985602
id_220,31.7216238043
id_221,55.175120795
id_222,28.7307205557
id_223,39.9795441495
id_224,43.6830418252
id_225,7.9737382951
id_226,4.26728382486
id_227,69.3253941027
id_228,28.1959028243
id_229,1.93900377791
id_230,40.2378268723
id_231,15.3304655999
id_232,21.8140272207
id_233,8.38046070026
id_234,12.0335628516
id_235,22.1091294832
id_236,12.7825866751
id_237,0.480332077944
id_238,21.5719104401
id_239,1.11165515895
